TreatmentCode;Treatment;Nconc (%);Bio;Rep;Day_1;Day;Length;Leaves;SPAD;Dualex NBI;Dualex Chl;Dualex Flav;Dualex Anth;SFW;SDW;RFW;RDW;File;Date;Time;Leaf;Roi Mask;Roi.Xc;Roi.Yc;dFv/Fm;s.d.;F0;s.d.;Fj;s.d.;Fi;s.d.;Fm;s.d.;1-Fj/Fm;s.d.;1-Fi/Fm;s.d.;Fv/Fm;s.d.;IC-Area;s.d.;IC-Area/Fv;s.d.;PI;s.d.;Fv/fm I (px);Fv/fm I (%);Fv/fm II (px);Fv/fm II (%);Fv/fm III (px);Fv/fm III (%);Fv/fm IV (px);Fv/fm IV (%);Fv/fm V (px);Fv/fm V (%);dFq/Fm;s.d.;Fs';s.d.;Fm';s.d.;Fq'/Fm';s.d.;ETR;s.d.;Fq'/fm' I (px);Fq'/fm' I (%);Fq'/fm' II (px);Fq'/fm' II (%);Fq'/fm' III (px);Fq'/fm' III (%);Fq'/fm' IV (px);Fq'/fm' IV (%);Fq'/fm' V (px);Fq'/fm' V (%);Etr I (px);Etr I (%);Etr II (px);Etr II (%);Etr III (px);Etr III (%);Etr IV (px);Etr IV (%);Etr V (px);Etr V (%);dRfd;s.d.;RfdFm;s.d.;RfdFt;s.d.;Rfd;s.d.;Rfd I (px);Rfd I (%);Rfd II (px);Rfd II (%);Rfd III (px);Rfd III (%);Rfd IV (px);Rfd IV (%);Rfd V (px);Rfd V (%);NPQ;s.d.;Npq I (px);Npq I (%);Npq II (px);Npq II (%);Npq III (px);Npq III (%);Npq IV (px);Npq IV (%);Npq V (px);Npq V (%);Red;s.d.;Green;s.d.;Blue;s.d.;Hue;s.d.;Saturation;s.d.;Value;s.d.;RGB I (px);RGB I (%);RGB II (px);RGB II (%);RGB III (px);RGB III (%);RGB IV (px);RGB IV (%);RGB V (px);RGB V (%);Hue I (px);Hue I (%);Hue II (px);Hue II (%);Hue III (px);Hue III (%);Hue IV (px);Hue IV (%);Hue V (px);Hue V (%);SpcGrn;s.d.;FarRed;s.d.;Nir;s.d.;ChlIdx;s.d.;AriIdx;s.d.;NDVI;s.d.;ChlIdx I (px);ChlIdx I (%);ChlIdx II (px);ChlIdx II (%);ChlIdx III (px);ChlIdx III (%);ChlIdx IV (px);ChlIdx IV (%);ChlIdx V (px);ChlIdx V (%);AriIdx I (px);AriIdx I (%);AriIdx II (px);AriIdx II (%);AriIdx III (px);AriIdx III (%);AriIdx IV (px);AriIdx IV (%);AriIdx V (px);AriIdx V (%);NDVI I (px);NDVI I (%);NDVI II (px);NDVI II (%);NDVI III (px);NDVI III (%);NDVI IV (px);NDVI IV (%);NDVI V (px);NDVI V (%);dGfp;s.d.;Gfp;s.d.;Auto;s.d.;cGfp;s.d.;MaskGfp;nObjGfp;nObjSize;s.d.;Gfp I (px);Gfp I (%);Gfp II (px);Gfp II (%);Gfp III (px);Gfp III (%);Gfp IV (px);Gfp IV (%);Gfp V (px);Gfp V (%);dRfp;s.d.;Rfp;s.d.;MaskRfp;nObjRfp;nObjSize;s.d.;Rfp I (px);Rfp I (%);Rfp II (px);Rfp II (%);Rfp III (px);Rfp III (%);Rfp IV (px);Rfp IV (%);Rfp V (px);Rfp V (%);dChl;s.d.;Chl;s.d.;Chl I (px);Chl I (%);Chl II (px);Chl II (%);Chl III (px);Chl III (%);Chl IV (px);Chl IV (%);Chl V (px);Chl V (%)
50N_02;50N;50;0;2;7;Day 07;12.5;3;45.7;46.1;23.1;0.5;0.14;/;/;/;/;HDR_E5701P0001N0001.INF;20210302;21:09;All;98069;1092;1300;30;46;919;346;0;0;0;0;3439;970;0;0;0;0;0.731;0.089;0;0;0;0;0;0;200;0.2;130;0.1;582;0.6;10083;10.3;69729;71.1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1768;1143;2642;1358;1190;612;101.2;31;0.551;0.119;0.041;0.021;883;0.9;2;0;2867;2.9;87;0.1;2;0;31;0;2;0;6;0;3;0;5;0;3168;1480;4120;1806;10171;2618;1.688;0.756;0.934;1.047;0.152;0.152;66740;68.1;30983;31.6;346;0.4;0;0;0;0;89581;91.3;5895;6;1830;1.9;542;0.6;158;0.2;5991844;100;860;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;40;60;1540;506;81682;83.3;16387;16.7;0;0;0;0;0;0
50N_02;50N;50;0;2;7;Day 07;12.5;3;45.7;46.1;23.1;0.5;0.14;/;/;/;/;HDR_E5701P0001N0001.INF;20210302;21:09;1;5629;1514;1023;29;45;611;310;0;0;0;0;2564;959;0;0;0;0;0.759;0.11;0;0;0;0;0;0;22;0.4;8;0.1;60;1.1;443;7.9;3235;57.5;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1233;337;1738;411;1249;380;128.4;36.8;0.337;0.114;0.027;0.006;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2062;521;2495;628;8374;2293;2.367;0.54;0.73;0.507;0.166;0.14;1282;22.8;4338;77.1;9;0.2;0;0;0;0;5544;98.5;85;1.5;0;0;0;0;0;0;;;;;;;;;;;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;37;59;972;423;5616;99.8;13;0.2;0;0;0;0;0;0
50N_02;50N;50;0;2;7;Day 07;12.5;3;45.7;46.1;23.1;0.5;0.14;/;/;/;/;HDR_E5701P0001N0001.INF;20210302;21:09;2;52683;916;1445;31;46;949;311;0;0;0;0;3693;877;0;0;0;0;0.741;0.077;0;0;0;0;0;0;73;0.1;49;0.1;155;0.3;3141;6;39515;75;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1231;448;2129;646;930;308;107.2;18.6;0.564;0.101;0.033;0.01;0;0;0;0;107;0.2;0;0;0;0;10;0;0;0;0;0;0;0;1;0;2692;756;3342;789;9737;1750;2.023;0.706;0.853;0.63;0.184;0.22;27871;52.9;24476;46.5;336;0.6;0;0;0;0;49769;94.5;2872;5.5;38;0.1;1;0;2;0;;;;;;;;;;;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;39;60;1597;431;44616;84.7;8067;15.3;0;0;0;0;0;0
50N_02;50N;50;0;2;7;Day 07;12.5;3;45.7;46.1;23.1;0.5;0.14;/;/;/;/;HDR_E5701P0001N0001.INF;20210302;21:09;3;22697;996;1139;29;45;937;336;0;0;0;0;3407;873;0;0;0;0;0.724;0.087;0;0;0;0;0;0;54;0.2;32;0.1;99;0.4;2604;11.5;16482;72.6;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1851;811;3026;1205;1153;418;99.5;17.8;0.606;0.099;0.046;0.018;693;3.1;0;0;606;2.7;0;0;0;0;4;0;0;0;0;0;0;0;0;0;3691;1364;4473;1385;9902;2288;1.293;0.435;0.576;0.417;0.143;0.156;20982;92.4;1715;7.6;0;0;0;0;0;0;22540;99.3;153;0.7;4;0;0;0;0;0;;;;;;;;;;;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;40;61;1657;505;16994;74.9;5703;25.1;0;0;0;0;0;0
25N_B_03;25N_B;25;1;3;7;Day 07;14.5;3;43.8;76.9;39.2;0.51;0.1;/;/;/;/;HDR_E5701P0002N0001.INF;20210302;21:09;All;108050;1094;1259;65;67;843;337;0;0;0;0;3624;1056;0;0;0;0;0.766;0.084;0;0;0;0;0;0;231;0.2;105;0.1;276;0.3;3936;3.6;69483;64.3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1502;840;2251;977;1144;465;106.5;33.4;0.499;0.117;0.035;0.015;682;0.6;0;0;1428;1.3;32;0;0;0;52;0;5;0;4;0;10;0;6;0;2783;1102;4149;1507;11474;2937;1.888;0.584;1.543;1.283;0.175;0.158;63427;58.7;44488;41.2;134;0.1;1;0;0;0;86892;80.4;17494;16.2;1304;1.2;1166;1.1;637;0.6;5992110;100;594;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;42;62;1598;561;85008;78.7;23042;21.3;0;0;0;0;0;0
25N_B_03;25N_B;25;1;3;7;Day 07;14.5;3;43.8;76.9;39.2;0.51;0.1;/;/;/;/;HDR_E5701P0002N0001.INF;20210302;21:09;1;5214;1553;1010;64;67;593;308;0;0;0;0;2557;920;0;0;0;0;0.768;0.107;0;0;0;0;0;0;14;0.3;7;0.1;36;0.7;364;7;2910;55.8;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1328;318;1835;450;1318;328;125.4;35.7;0.328;0.111;0.028;0.007;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2196;557;2903;729;9146;2270;2.185;0.484;1.034;0.567;0.189;0.141;1793;34.4;3417;65.5;4;0.1;0;0;0;0;4929;94.5;283;5.4;2;0;0;0;0;0;;;;;;;;;;;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;40;60;1045;443;5188;99.5;26;0.5;0;0;0;0;0;0
25N_B_03;25N_B;25;1;3;7;Day 07;14.5;3;43.8;76.9;39.2;0.51;0.1;/;/;/;/;HDR_E5701P0002N0001.INF;20210302;21:09;2;49151;975;1423;65;67;850;282;0;0;0;0;3838;853;0;0;0;0;0.777;0.073;0;0;0;0;0;0;71;0.1;41;0.1;67;0.1;858;1.7;30272;61.6;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1087;292;1810;389;991;255;115.2;21.5;0.474;0.097;0.028;0.006;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;2346;458;3486;618;11154;1812;2.24;0.505;1.623;0.687;0.202;0.222;14719;29.9;34312;69.8;120;0.2;0;0;0;0;35761;72.8;13296;27.1;94;0.2;0;0;0;0;;;;;;;;;;;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;42;62;1609;409;41966;85.4;7185;14.6;0;0;0;0;0;0
25N_B_03;25N_B;25;1;3;7;Day 07;14.5;3;43.8;76.9;39.2;0.51;0.1;/;/;/;/;HDR_E5701P0002N0001.INF;20210302;21:09;3;33284;905;1126;64;66;881;360;0;0;0;0;3708;1099;0;0;0;0;0.762;0.084;0;0;0;0;0;0;93;0.3;31;0.1;89;0.3;1109;3.3;22496;67.6;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1448;451;2416;741;1042;330;103.7;19;0.562;0.106;0.037;0.011;110;0.3;0;0;69;0.2;0;0;0;0;6;0;0;0;0;0;0;0;0;0;3061;916;4339;1199;11117;2903;1.6;0.382;1.117;0.488;0.178;0.186;28829;86.6;4452;13.4;2;0;1;0;0;0;31675;95.2;1605;4.8;3;0;1;0;0;0;;;;;;;;;;;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;41;61;1752;633;21493;64.6;11791;35.4;0;0;0;0;0;0
0N_03;0N;0;0;3;7;Day 07;4.7;2;39.2;77.5;30.3;0.39;0.3;/;/;/;/;HDR_E5701P0003N0001.INF;20210302;21:09;All;34972;1582;1193;67;68;806;345;0;0;0;0;3510;1137;0;0;0;0;0.77;0.085;0;0;0;0;0;0;57;0.2;23;0.1;120;0.3;1407;4;21504;61.5;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1486;657;2299;868;1120;403;104.5;24;0.507;0.116;0.035;0.013;292;0.8;0;0;326;0.9;3;0;0;0;7;0;0;0;0;0;0;0;0;0;2792;981;3809;1292;10266;2824;1.779;0.487;1.072;0.715;0.14;0.137;24476;70;10487;30;9;0;0;0;0;0;32294;92.3;2492;7.1;130;0.4;41;0.1;9;0;5991971;100;733;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;41;61;1498;567;29056;83.1;5916;16.9;0;0;0;0;0;0
0N_03;0N;0;0;3;7;Day 07;4.7;2;39.2;77.5;30.3;0.39;0.3;/;/;/;/;HDR_E5701P0003N0001.INF;20210302;21:09;1;3624;1755;1041;63;66;542;294;0;0;0;0;2525;917;0;0;0;0;0.786;0.103;0;0;0;0;0;0;8;0.2;2;0.1;19;0.5;178;4.9;1796;49.6;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1115;374;1680;506;980;338;111.7;23.5;0.432;0.13;0.026;0.008;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2047;604;2696;789;8127;2235;2.062;0.475;1;0.585;0.183;0.153;1700;46.9;1923;53.1;1;0;0;0;0;0;3422;94.4;202;5.6;0;0;0;0;0;0;;;;;;;;;;;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;41;61;1039;495;3471;95.8;153;4.2;0;0;0;0;0;0
0N_03;0N;0;0;3;7;Day 07;4.7;2;39.2;77.5;30.3;0.39;0.3;/;/;/;/;HDR_E5701P0003N0001.INF;20210302;21:09;2;21058;1478;1237;67;68;855;296;0;0;0;0;3801;932;0;0;0;0;0.773;0.076;0;0;0;0;0;0;34;0.2;10;0;37;0.2;560;2.7;13147;62.4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1274;372;2077;553;1033;308;108.3;22.5;0.507;0.108;0.032;0.008;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2594;662;3612;846;10211;2121;1.879;0.45;1.19;0.644;0.258;0.248;13438;63.8;7612;36.1;8;0;0;0;0;0;19109;90.7;1926;9.1;12;0.1;7;0;2;0;;;;;;;;;;;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;40;61;1582;436;17945;85.2;3113;14.8;0;0;0;0;0;0
